revenue_cagr_3y,pat_cagr_3y,ebitda_margin,net_margin,roe,roce,debt_equity,interest_coverage,current_ratio,asset_turnover,receivable_days,inventory_days,promoter_stake_pre,ofs_pct,fresh_issue_pct,log_issue_size_cr,price_band_width_pct,gmp_t3,gmp_t1,nifty_30d_return,vix_at_open,sector_code,brlm_reputation_score,anchor_alloc_pct,company_age_yrs,qib_sub_multiple,hni_sub_multiple,rii_sub_multiple,overall_sub_multiple,allotment_ratio_rii,sentiment_score,news_volume_7d,profitability_score,growth_score,liquidity_score,solvency_score,efficiency_score,listing_gain_pct,risk_label,confidence_score,company_name,sector,ipo_id
18.2,22.4,24.8,16.4,28.6,32.4,0.12,18.4,2.8,1.4,42.0,8.0,55.6,100.0,0.0,8.02059914989697,5.263157894736842,88.0,95.0,6.2,14.2,9,9.2,42.0,24.0,203.4,62.1,25.3,69.4,0.08,85.0,142.0,62.652844942068924,41.81310294590836,50.0,71.98943935393694,55.726975222066386,140.3,Low,68.0,TataTechnologies,ITServices,tata_technologies_0
35.2,42.6,28.4,20.2,18.4,16.8,6.2,2.8,1.4,0.22,0.0,0.0,100.0,0.0,100.0,8.788898309344878,6.0606060606060606,75.0,82.0,4.8,13.6,4,9.5,48.0,16.0,209.4,41.5,7.5,63.6,0.06,80.0,118.0,55.84295914148032,62.703014225108646,9.999999999999998,25.415437179686286,68.35748792270532,114.0,Low,65.6,BajajHousingFinance,BFSI,bajaj_housing_finance_1
12.4,8.2,18.6,12.8,22.4,24.2,0.22,14.2,1.8,0.88,48.0,32.0,100.0,100.0,0.0,10.235342000707783,5.093833780160858,-2.0,0.0,-1.4,16.8,9,9.0,38.0,38.0,4.8,1.9,0.5,2.4,0.72,68.0,210.0,56.00578332692767,31.97920293213328,22.5,67.62540767199876,33.317749727286895,-1.3,High,55.1,HyundaiMotorIndia,Automobiles,hyundai_motor_india_2
48.6,-12.4,8.2,-18.4,-8.2,-6.4,0.28,-2.4,2.2,1.12,22.0,4.0,15.0,20.0,80.0,9.145908511816794,5.555555555555555,28.0,34.0,8.4,15.6,9,9.0,44.0,8.0,51.8,32.2,7.5,38.2,0.12,78.0,356.0,28.64601842025669,52.90164145999897,32.5,52.16027333436869,65.24855851644071,53.1,Low,50.8,ZomatoLtd,Food&Delivery,zomato_ltd_3
58.4,22.6,12.4,4.2,8.6,7.2,0.42,4.8,2.4,1.24,28.0,18.0,54.2,30.0,70.0,8.585225601808064,3.686635944700461,58.0,72.0,7.8,14.2,3,8.8,40.0,10.0,122.4,112.3,12.2,82.0,0.07,80.0,228.0,43.232305059087636,73.59416983576453,30.0,57.984935548998294,55.94514570671654,79.4,Low,56.8,FSNE-CommerceVentures(Nykaa),E-Commerce,fsn_e_commerce_ventures_nykaa_4
8.4,12.2,18.4,8.6,12.4,10.8,0.08,12.6,1.2,0.18,0.0,0.0,100.0,100.0,0.0,9.952325334619427,5.210643015521065,-4.0,-2.0,-3.2,22.4,9,8.5,36.0,65.0,2.83,2.35,1.99,2.95,0.62,55.0,480.0,47.71512553662518,30.30575975532798,10.0,66.91023450846404,67.8743961352657,-8.1,High,53.9,LifeInsuranceCorporation,Insurance,life_insurance_corporation_5
42.8,-28.4,6.4,-22.6,-12.4,-10.2,0.18,-1.8,3.2,0.96,18.0,2.0,25.2,35.0,65.0,8.635153989049803,4.25531914893617,12.0,16.0,4.2,16.4,9,8.2,38.0,8.0,22.4,18.9,3.6,16.6,0.28,72.0,165.0,24.95495570566559,42.40107477955722,55.0,53.23963348346017,66.54199781829516,17.4,Medium,47.4,PBFintech(PolicyBazaar),InsuranceTech,pb_fintech_policybazaar_6
32.4,-18.6,4.2,-14.8,-6.4,-4.8,0.62,-1.2,1.8,1.42,32.0,12.0,20.4,28.0,72.0,8.56331312702979,5.411255411255411,2.0,4.0,-2.4,18.6,9,8.0,40.0,12.0,2.82,1.58,0.4,1.63,0.8,60.0,88.0,29.46526764603414,37.827900297641236,17.5,51.44665320701972,59.19432756739909,1.2,Medium,44.6,DelhiveryLtd,Logistics,delhivery_ltd_7
68.4,-42.6,-8.4,-38.2,-28.4,-22.6,1.84,-4.2,1.2,0.82,28.0,48.0,37.0,0.0,100.0,8.72355674269043,5.555555555555555,14.0,18.0,5.6,14.8,9,7.8,42.0,6.0,8.2,3.9,1.1,4.3,0.52,82.0,312.0,9.871136345607136,57.33333333333333,7.499999999999998,42.2200652275198,34.74364968053608,20.2,Low,36.5,OlaElectricMobility,ElectricVehicles,ola_electric_mobility_8
28.4,-62.4,-12.8,-52.4,-38.6,-32.4,0.84,-6.4,1.6,0.62,14.0,2.0,18.5,60.0,40.0,9.814710982145282,3.3653846153846154,-18.0,-12.0,2.8,18.4,1,8.5,44.0,14.0,2.79,3.53,1.05,1.89,0.75,60.0,428.0,0.0,18.450753417132233,20.0,45.53191489361702,64.58625525946705,-27.3,High,30.9,One97Communications(Paytm),Fintech,one97_communications_paytm_9
