ipo_id,company_name,sector,listing_gain_pct,overall_sub_multiple,qib_sub_multiple,hni_sub_multiple,rii_sub_multiple,allotment_ratio_rii,revenue_cagr_3y,pat_cagr_3y,ebitda_margin,net_margin,roe,roce,debt_equity,interest_coverage,current_ratio,cash_ratio,asset_turnover,receivable_days,inventory_days,promoter_stake_pre,ofs_pct,fresh_issue_pct,issue_size_cr,price_band_high,price_band_low,gmp_t3,gmp_t1,nifty_30d_return,vix_at_open,brlm_reputation_score,anchor_alloc_pct,company_age_yrs,sentiment_score,news_volume_7d
tata_technologies_0,Tata Technologies,IT Services,140.3,69.4,203.4,62.1,25.3,0.08,18.2,22.4,24.8,16.4,28.6,32.4,0.12,18.4,2.8,1.2,1.4,42.0,8.0,55.6,100.0,0.0,3042.0,500.0,475.0,88.0,95.0,6.2,14.2,9.2,42.0,24.0,85.0,142.0
bajaj_housing_finance_1,Bajaj Housing Finance,BFSI,114.0,63.6,209.4,41.5,7.5,0.06,35.2,42.6,28.4,20.2,18.4,16.8,6.2,2.8,1.4,0.3,0.22,0.0,0.0,100.0,0.0,100.0,6560.0,70.0,66.0,75.0,82.0,4.8,13.6,9.5,48.0,16.0,80.0,118.0
hyundai_motor_india_2,Hyundai Motor India,Automobiles,-1.3,2.4,4.8,1.9,0.5,0.72,12.4,8.2,18.6,12.8,22.4,24.2,0.22,14.2,1.8,0.6,0.88,48.0,32.0,100.0,100.0,0.0,27870.0,1960.0,1865.0,-2.0,0.0,-1.4,16.8,9.0,38.0,38.0,68.0,210.0
zomato_ltd_3,Zomato Ltd,Food & Delivery,53.1,38.2,51.8,32.2,7.5,0.12,48.6,-12.4,8.2,-18.4,-8.2,-6.4,0.28,-2.4,2.2,0.8,1.12,22.0,4.0,15.0,20.0,80.0,9375.0,76.0,72.0,28.0,34.0,8.4,15.6,9.0,44.0,8.0,78.0,356.0
fsn_e_commerce_ventures_nykaa_4,FSN E-Commerce Ventures (Nykaa),E-Commerce,79.4,82.0,122.4,112.3,12.2,0.07,58.4,22.6,12.4,4.2,8.6,7.2,0.42,4.8,2.4,0.6,1.24,28.0,18.0,54.2,30.0,70.0,5351.0,1125.0,1085.0,58.0,72.0,7.8,14.2,8.8,40.0,10.0,80.0,228.0
life_insurance_corporation_5,Life Insurance Corporation,Insurance,-8.1,2.95,2.83,2.35,1.99,0.62,8.4,12.2,18.4,8.6,12.4,10.8,0.08,12.6,1.2,0.4,0.18,0.0,0.0,100.0,100.0,0.0,21000.0,949.0,902.0,-4.0,-2.0,-3.2,22.4,8.5,36.0,65.0,55.0,480.0
pb_fintech_policybazaar_6,PB Fintech (PolicyBazaar),Insurance Tech,17.4,16.6,22.4,18.9,3.6,0.28,42.8,-28.4,6.4,-22.6,-12.4,-10.2,0.18,-1.8,3.2,1.2,0.96,18.0,2.0,25.2,35.0,65.0,5625.0,980.0,940.0,12.0,16.0,4.2,16.4,8.2,38.0,8.0,72.0,165.0
delhivery_ltd_7,Delhivery Ltd,Logistics,1.2,1.63,2.82,1.58,0.4,0.8,32.4,-18.6,4.2,-14.8,-6.4,-4.8,0.62,-1.2,1.8,0.4,1.42,32.0,12.0,20.4,28.0,72.0,5235.0,487.0,462.0,2.0,4.0,-2.4,18.6,8.0,40.0,12.0,60.0,88.0
ola_electric_mobility_8,Ola Electric Mobility,Electric Vehicles,20.2,4.3,8.2,3.9,1.1,0.52,68.4,-42.6,-8.4,-38.2,-28.4,-22.6,1.84,-4.2,1.2,0.3,0.82,28.0,48.0,37.0,0.0,100.0,6145.0,76.0,72.0,14.0,18.0,5.6,14.8,7.8,42.0,6.0,82.0,312.0
one97_communications_paytm_9,One97 Communications (Paytm),Fintech,-27.3,1.89,2.79,3.53,1.05,0.75,28.4,-62.4,-12.8,-52.4,-38.6,-32.4,0.84,-6.4,1.6,0.6,0.62,14.0,2.0,18.5,60.0,40.0,18300.0,2150.0,2080.0,-18.0,-12.0,2.8,18.4,8.5,44.0,14.0,60.0,428.0
