ticker,name,sector,industry,market_cap,pe_trailing,pe_forward,ev_ebitda,pb_ratio,roe,revenue,net_income,debt_equity,current_ratio
TCS.NS,TATA CONSULTANCY SERV LT,Technology,Information Technology Services,9140735836160.0,18.56828,15.250874,12.214,8.052861,0.48395002,2670210056192.0,492099993600.0,10.389,2.228
INFY.NS,INFOSYS LIMITED,Technology,Information Technology Services,5034018865152.0,17.35491,16.107996,1171.191,5.8373146,0.32683,19847000064.0,3206000128.0,10.531,1.812
WIPRO.NS,WIPRO LTD,Technology,Information Technology Services,2128501145600.0,16.15911,14.1292715,10.204,2.3725646,0.15487,926240014336.0,131973996544.0,22.853,2.049
HCLTECH.NS,HCL TECHNOLOGIES LTD,Technology,Information Technology Services,3453224484864.0,20.81716,15.93356,1199.127,4.5973196,0.23357001,14663999488.0,1876999936.0,6.935,2.217
TECHM.NS,TECH MAHINDRA LIMITED,Technology,Information Technology Services,1267785662464.0,26.369335,16.844517,13.712,4.6098037,0.16608,568153997312.0,48108998656.0,7.269,1.902
HDFCBANK.NS,HDFC BANK LTD,Financial Services,Banks - Regional,12102044483584.0,17.55079,12.490393,,2.1405504,0.13818,2833153523712.0,760259674112.0,,
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,Banks - Regional,9678634352640.0,18.056412,14.888488,,2.6643734,0.16359,2174509514752.0,542076993536.0,,
SBIN.NS,STATE BANK OF INDIA,Financial Services,Banks - Regional,10069680848896.0,11.870511,11.851095,,1.7009141,,3700534018048.0,832563642368.0,,
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,Banks - Regional,4270391820288.0,16.297306,12.719444,,2.0604346,0.13625,768435683328.0,262573506560.0,,
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,Banks - Regional,3684668276736.0,19.579811,17.541517,,2.191973,,765436690432.0,187974991872.0,,
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,Household & Personal Products,5588139376640.0,55.161213,48.49177,38.18,11.466707,,651000020992.0,101139996672.0,3.611,
NESTLEIND.NS,NESTLE INDIA LIMITED,Consumer Defensive,Packaged Foods,2726250938368.0,77.895325,60.04616,50.557,61.48026,0.76338995,231545995264.0,34990800896.0,8.613,0.964
DABUR.NS,DABUR INDIA LTD,Consumer Defensive,Household & Personal Products,812438716416.0,44.04327,38.372158,32.89,7.4180536,,129846902784.0,18465599488.0,11.464,
MARICO.NS,MARICO LIMITED,Consumer Defensive,Household & Personal Products,1004450807808.0,58.6866,48.149242,45.023,24.801651,,130079997952.0,17139999744.0,13.671,
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,Auto Manufacturers,4128734445568.0,27.657963,23.698181,21.104,4.13932,,1717736046592.0,149315993600.0,0.1,
TATAMOTORS.NS,TATAMOTORS.NS,Unknown,Unknown,,,,,,,,,,
M&M.NS,MAHINDRA & MAHINDRA LTD,Consumer Cyclical,Auto Manufacturers,3654519881728.0,21.762602,21.256992,13.267,4.101785,,1888898121728.0,157264494592.0,132.29,
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,Consumer Cyclical,Auto Manufacturers,2656250101760.0,29.92795,23.988703,19.289,7.772613,,590238384128.0,88841396224.0,57.257,
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,Drug Manufacturers - Specialty & Generic,4069272059904.0,37.34038,29.938587,23.679,5.227114,,568090886144.0,109152698368.0,6.675,
DRREDDY.NS,DR. REDDY S LABORATORIES,Healthcare,Drug Manufacturers - Specialty & Generic,1124419239936.0,19.886614,24.52547,11.815,3.019564,0.161,345831014400.0,56587001856.0,18.026,1.88
CIPLA.NS,CIPLA LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1055206539264.0,23.223112,23.551033,14.106,3.2054005,,279671898112.0,45464301568.0,1.415,
DIVISLAB.NS,DIVI S LABORATORIES LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1697538768896.0,68.28083,54.683105,48.631,11.006933,,103139999744.0,24789999616.0,0.584,
ONGC.NS,OIL AND NATURAL GAS CORP.,Energy,Oil & Gas Integrated,3588524605440.0,9.432871,6.808464,5.302,0.97491705,,6559959089152.0,380358721536.0,43.805,
BPCL.NS,BHARAT PETROLEUM CORP  LT,Energy,Oil & Gas Refining & Marketing,1347756752896.0,5.393229,7.369278,4.457,1.4130859,,4477573660672.0,246107406336.0,56.386,
IOCL.NS,IOCL.NS,Unknown,Unknown,,,,,,,,,,
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,Telecom Services,11214399733760.0,36.34031,27.80156,12.547,8.984169,0.23125,2034658050048.0,303919005696.0,117.095,0.45
IDEA.NS,VODAFONE IDEA LIMITED,Communication Services,Telecom Services,1035759452160.0,,-4.467478,28.572,-1.2557468,,444367011840.0,-245844000768.0,,
ZOMATO.NS,ZOMATO.NS,Unknown,Unknown,,,,,,,,,,
NYKAA.NS,FSN E COMMERCE VENTURES,Consumer Cyclical,Internet Retail,751609184256.0,535.69385,170.49896,168.728,54.267105,,94359396352.0,1413500032.0,97.748,
PAYTM.NS,ONE 97 COMMUNICATIONS LTD,Technology,Software - Infrastructure,737293172736.0,,57.31088,102.434,4.7775006,,80843997184.0,-1707000064.0,1.045,
DELHIVERY.NS,DELHIVERY LIMITED,Industrials,Integrated Freight & Logistics,338407882752.0,227.0603,54.411243,-767.251,3.5128706,,98498740224.0,1528349952.0,17.226,
