ipo_id,sentiment_score,sentiment_label
tata_technologies_0,85.0,positive
bajaj_housing_finance_1,80.0,positive
hyundai_motor_india_2,68.0,positive
zomato_ltd_3,78.0,positive
fsn_e_commerce_ventures_nykaa_4,80.0,positive
life_insurance_corporation_5,55.0,neutral
pb_fintech_policybazaar_6,72.0,positive
delhivery_ltd_7,60.0,neutral
ola_electric_mobility_8,82.0,positive
one97_communications_paytm_9,60.0,neutral
campus_activewear_10,65.0,positive
harsha_engineers_international_11,68.0,positive
swiggy_ltd_12,74.0,positive
mtar_technologies_13,82.0,positive
happiest_minds_technologies_14,88.0,positive
clean_science_and_technology_15,84.0,positive
tatva_chintan_pharma_chem_16,82.0,positive
paras_defence_and_space_techno_17,85.0,positive
tbo_tek_18,84.0,positive
waaree_energies_19,78.0,positive
premier_energies_20,80.0,positive
indegene_limited_21,76.0,positive
medplus_health_services_22,72.0,positive
devyani_international_23,74.0,positive
nazara_technologies_24,80.0,positive
mapmyindia_ce_info_systems_25,82.0,positive
data_patterns_india_26,78.0,positive
adani_wilmar_27,65.0,positive
esaf_small_finance_bank_28,68.0,positive
vijaya_diagnostics_centre_29,68.0,positive
aadhar_housing_finance_30,65.0,positive
bharti_hexacom_31,70.0,positive
metro_brands_32,65.0,positive
gr_infraprojects_33,68.0,positive
irfc_34,58.0,neutral
ease_my_trip_35,68.0,positive
stove_kraft_36,62.0,positive
sapphire_foods_india_37,62.0,positive
sjs_enterprises_38,62.0,positive
krsnaa_diagnostics_39,62.0,positive
cams_computer_age_management_s_40,70.0,positive
railtel_corporation_41,62.0,positive
burger_king_india_42,78.0,positive
indiamart_intermesh_43,72.0,positive
aptus_value_housing_finance_44,65.0,positive
cartrade_tech_45,60.0,neutral
star_health_and_allied_insuran_46,55.0,neutral
shriram_properties_47,50.0,neutral
nuvoco_vistas_corporation_48,52.0,neutral
windlas_biotech_49,52.0,neutral
ags_transact_technologies_50,42.0,neutral
supriya_lifescience_51,84.0,positive
go_digit_general_insurance_52,58.0,neutral
afcons_infrastructure_53,52.0,neutral
ntpc_green_energy_54,55.0,neutral
sagility_india_55,58.0,neutral
jana_small_finance_bank_56,58.0,neutral
manba_finance_57,60.0,neutral
fincare_small_finance_bank_58,54.0,neutral
jyoti_cnc_automation_59,62.0,positive
doms_industries_60,74.0,positive
cello_world_61,68.0,positive
emcure_pharmaceuticals_62,68.0,positive
le_travenues_technology_ixigo_63,72.0,positive
exicom_tele_systems_64,68.0,positive
r_k_swamy_65,62.0,positive
rashi_peripherals_66,60.0,neutral
synthetic_ipo_100_infr_67,72.55256364476847,positive
synthetic_ipo_101_rene_68,65.93929573481276,positive
synthetic_ipo_102_heal_69,61.20281789093601,positive
synthetic_ipo_103_cons_70,36.8810887031337,negative
synthetic_ipo_104_manu_71,37.16487386295569,negative
synthetic_ipo_105_fint_72,89.25985489050973,positive
synthetic_ipo_106_it_s_73,60.37334079455092,positive
synthetic_ipo_107_it_s_74,82.0,positive
synthetic_ipo_108_cons_75,91.85849284327956,positive
synthetic_ipo_109_infr_76,61.49409378556206,positive
synthetic_ipo_110_fint_77,63.71460821832632,positive
synthetic_ipo_111_fint_78,88.62148905814153,positive
synthetic_ipo_112_infr_79,82.0,positive
